model_a,Gowal2021Improving_28_10_ddpm_100m,Rade2021Helper_extra,Rebuffi2021Fixing_70_16_cutmix_extra,Sehwag2021Proxy_R18,Wang2023Better_WRN28_10,Wang2023Better_WRN70_16
Gowal2021Improving_28_10_ddpm_100m,,2.5599395161141314,2.5841722203968756,2.8157945325957914,2.6914570870314485,2.536008595891229
Rade2021Helper_extra,2.5599395161141314,,2.8470912255143555,2.514917708443804,2.6897967317748086,2.5290527183117537
Rebuffi2021Fixing_70_16_cutmix_extra,2.5841722203968756,2.8470912255143555,,2.3911787539778175,2.710608227553986,2.595746682753812
Sehwag2021Proxy_R18,2.8157945325957914,2.514917708443804,2.3911787539778175,,2.4872623628961,2.213747396691309
Wang2023Better_WRN28_10,2.6914570870314485,2.6897967317748086,2.710608227553986,2.4872623628961,,2.8914534506158445
Wang2023Better_WRN70_16,2.536008595891229,2.5290527183117537,2.595746682753812,2.213747396691309,2.8914534506158445,
