source_model,Engstrom2019Robustness,Rice2020Overfitting,Standard,Wong2020Fast
Engstrom2019Robustness,1.0,0.5,0.34615384615384615,0.7692307692307693
Rice2020Overfitting,0.5789473684210527,1.0,0.2631578947368421,0.6842105263157895
Standard,0.1016949152542373,0.11864406779661017,1.0,0.13559322033898305
Wong2020Fast,0.5,0.42857142857142855,0.35714285714285715,1.0
