cka_feature,rho,p_value,n_obs,method
early_cka,0.5973737706299752,0.04025790480542538,12,pearson
late_cka,0.6776445160096498,0.015459384820151455,12,pearson
mean_layerwise_cka,0.48822740117710506,0.10731141178847226,12,pearson
middle_cka,-0.08735604856477708,0.7871946060044863,12,pearson
