source_model,target_model,sample_id,source_layer,target_layer,source_layer_name,target_layer_name,cka,transferable,n_samples
Standard,Engstrom2019Robustness,-1,4,6,block2.layer.3.conv1,linear,0.30798256397247314,0,53
Standard,Engstrom2019Robustness,-1,5,1,block3.layer.1.conv1,conv1,0.4268028438091278,0,53
Standard,Engstrom2019Robustness,-1,5,2,block3.layer.1.conv1,layer2.0.conv1,0.7553876042366028,0,53
Standard,Engstrom2019Robustness,-1,5,3,block3.layer.1.conv1,layer2.3.conv1,0.763051450252533,0,53
Standard,Engstrom2019Robustness,-1,5,4,block3.layer.1.conv1,layer3.2.conv2,0.7345566749572754,0,53
Standard,Engstrom2019Robustness,-1,5,5,block3.layer.1.conv1,layer3.5.conv3,0.6423795223236084,0,53
Standard,Engstrom2019Robustness,-1,5,6,block3.layer.1.conv1,linear,0.31925493478775024,0,53
Standard,Engstrom2019Robustness,-1,6,1,fc,conv1,0.20310896635055542,0,53
Standard,Engstrom2019Robustness,-1,6,2,fc,layer2.0.conv1,0.30619871616363525,0,53
Standard,Engstrom2019Robustness,-1,6,3,fc,layer2.3.conv1,0.300229549407959,0,53
Standard,Engstrom2019Robustness,-1,6,4,fc,layer3.2.conv2,0.289285808801651,0,53
Standard,Engstrom2019Robustness,-1,6,5,fc,layer3.5.conv3,0.2505023777484894,0,53
Standard,Engstrom2019Robustness,-1,6,6,fc,linear,0.18073450028896332,0,53
Standard,Wong2020Fast,-1,1,1,conv1,conv1,0.9947637319564819,1,8
Standard,Wong2020Fast,-1,1,2,conv1,layer1.1.conv2,0.9953717589378357,1,8
Standard,Wong2020Fast,-1,1,3,conv1,layer2.1.conv1,0.9305492639541626,1,8
Standard,Wong2020Fast,-1,1,4,conv1,layer3.0.shortcut.0,0.9574094414710999,1,8
Standard,Wong2020Fast,-1,1,5,conv1,layer4.0.conv2,0.8161101937294006,1,8
Standard,Wong2020Fast,-1,1,6,conv1,linear,0.4705292582511902,1,8
Standard,Wong2020Fast,-1,2,1,block1.layer.2.conv1,conv1,0.8682504296302795,1,8
Standard,Wong2020Fast,-1,2,2,block1.layer.2.conv1,layer1.1.conv2,0.8739948272705078,1,8
Standard,Wong2020Fast,-1,2,3,block1.layer.2.conv1,layer2.1.conv1,0.9367750287055969,1,8
Standard,Wong2020Fast,-1,2,4,block1.layer.2.conv1,layer3.0.shortcut.0,0.854295551776886,1,8
Standard,Wong2020Fast,-1,2,5,block1.layer.2.conv1,layer4.0.conv2,0.87032151222229,1,8
Standard,Wong2020Fast,-1,2,6,block1.layer.2.conv1,linear,0.5704824924468994,1,8
Standard,Wong2020Fast,-1,3,1,block2.layer.0.conv2,conv1,0.8820778727531433,1,8
Standard,Wong2020Fast,-1,3,2,block2.layer.0.conv2,layer1.1.conv2,0.8862012028694153,1,8
Standard,Wong2020Fast,-1,3,3,block2.layer.0.conv2,layer2.1.conv1,0.9473140835762024,1,8
Standard,Wong2020Fast,-1,3,4,block2.layer.0.conv2,layer3.0.shortcut.0,0.8768810033798218,1,8
Standard,Wong2020Fast,-1,3,5,block2.layer.0.conv2,layer4.0.conv2,0.895546555519104,1,8
Standard,Wong2020Fast,-1,3,6,block2.layer.0.conv2,linear,0.5887348055839539,1,8
Standard,Wong2020Fast,-1,4,1,block2.layer.3.conv1,conv1,0.8671562075614929,1,8
Standard,Wong2020Fast,-1,4,2,block2.layer.3.conv1,layer1.1.conv2,0.8708190321922302,1,8
Standard,Wong2020Fast,-1,4,3,block2.layer.3.conv1,layer2.1.conv1,0.9401460289955139,1,8
Standard,Wong2020Fast,-1,4,4,block2.layer.3.conv1,layer3.0.shortcut.0,0.8672536015510559,1,8
Standard,Wong2020Fast,-1,4,5,block2.layer.3.conv1,layer4.0.conv2,0.8913137912750244,1,8
Standard,Wong2020Fast,-1,4,6,block2.layer.3.conv1,linear,0.5820777416229248,1,8
Standard,Wong2020Fast,-1,5,1,block3.layer.1.conv1,conv1,0.8458451628684998,1,8
Standard,Wong2020Fast,-1,5,2,block3.layer.1.conv1,layer1.1.conv2,0.8502932190895081,1,8
Standard,Wong2020Fast,-1,5,3,block3.layer.1.conv1,layer2.1.conv1,0.9221875071525574,1,8
