source_model,target_model,source_layer,best_target_layer,source_layer_name,best_target_layer_name,best_cka,layer_shift,abs_layer_shift,source_training_type,target_training_type,pair_type
Standard,Engstrom2019Robustness,5,5,block3.layer.1.conv1,layer3.5.conv3,0.7871227860450745,0,0,standard,adversarial_training,standard_robust
Standard,Engstrom2019Robustness,6,6,fc,linear,0.6480215191841125,0,0,standard,adversarial_training,standard_robust
Standard,Rice2020Overfitting,1,1,conv1,conv1,0.9458745121955872,0,0,standard,adversarial_training_robust_overfitting,standard_robust
Standard,Rice2020Overfitting,2,2,block1.layer.2.conv1,block1.layer.2.conv2,0.8069832921028137,0,0,standard,adversarial_training_robust_overfitting,standard_robust
Standard,Rice2020Overfitting,3,2,block2.layer.0.conv2,block1.layer.2.conv2,0.8412843942642212,-1,1,standard,adversarial_training_robust_overfitting,standard_robust
Standard,Rice2020Overfitting,4,2,block2.layer.3.conv1,block1.layer.2.conv2,0.8159927129745483,-2,2,standard,adversarial_training_robust_overfitting,standard_robust
Standard,Rice2020Overfitting,5,2,block3.layer.1.conv1,block1.layer.2.conv2,0.6718496084213257,-3,3,standard,adversarial_training_robust_overfitting,standard_robust
Standard,Rice2020Overfitting,6,6,fc,fc,0.6356517672538757,0,0,standard,adversarial_training_robust_overfitting,standard_robust
Standard,Wong2020Fast,1,1,conv1,conv1,0.9782893061637878,0,0,standard,fast_adversarial_training,standard_robust
Standard,Wong2020Fast,2,3,block1.layer.2.conv1,layer2.1.conv1,0.851965606212616,1,1,standard,fast_adversarial_training,standard_robust
Standard,Wong2020Fast,3,3,block2.layer.0.conv2,layer2.1.conv1,0.8833011388778687,0,0,standard,fast_adversarial_training,standard_robust
Standard,Wong2020Fast,4,3,block2.layer.3.conv1,layer2.1.conv1,0.8766279816627502,-1,1,standard,fast_adversarial_training,standard_robust
Standard,Wong2020Fast,5,3,block3.layer.1.conv1,layer2.1.conv1,0.6861797571182251,-2,2,standard,fast_adversarial_training,standard_robust
Standard,Wong2020Fast,6,6,fc,linear,0.6161254644393921,0,0,standard,fast_adversarial_training,standard_robust
Wong2020Fast,Engstrom2019Robustness,1,1,conv1,conv1,0.94869065284729,0,0,fast_adversarial_training,adversarial_training,robust_robust
Wong2020Fast,Engstrom2019Robustness,2,1,layer1.1.conv2,conv1,0.9450435042381288,-1,1,fast_adversarial_training,adversarial_training,robust_robust
Wong2020Fast,Engstrom2019Robustness,3,3,layer2.1.conv1,layer2.3.conv1,0.9729410409927368,0,0,fast_adversarial_training,adversarial_training,robust_robust
Wong2020Fast,Engstrom2019Robustness,4,1,layer3.0.shortcut.0,conv1,0.8360506892204285,-3,3,fast_adversarial_training,adversarial_training,robust_robust
Wong2020Fast,Engstrom2019Robustness,5,6,layer4.0.conv2,linear,0.8566036224365234,1,1,fast_adversarial_training,adversarial_training,robust_robust
