source_model,target_model,source_layer,target_layer,source_layer_name,target_layer_name,cka,pair_mode,n_examples
Standard,Wong2020Fast,5,3,block3.layer.1.conv1,layer2.1.conv1,0.6861797571182251,unique,64
Standard,Wong2020Fast,5,4,block3.layer.1.conv1,layer3.0.shortcut.0,0.48725661635398865,unique,64
Standard,Wong2020Fast,5,5,block3.layer.1.conv1,layer4.0.conv2,0.6011354327201843,unique,64
Standard,Wong2020Fast,5,6,block3.layer.1.conv1,linear,0.5076232552528381,unique,64
Standard,Wong2020Fast,6,1,fc,conv1,0.4073932468891144,unique,64
Standard,Wong2020Fast,6,2,fc,layer1.1.conv2,0.41370877623558044,unique,64
Standard,Wong2020Fast,6,3,fc,layer2.1.conv1,0.3843638002872467,unique,64
Standard,Wong2020Fast,6,4,fc,layer3.0.shortcut.0,0.5036985874176025,unique,64
Standard,Wong2020Fast,6,5,fc,layer4.0.conv2,0.6028693318367004,unique,64
Standard,Wong2020Fast,6,6,fc,linear,0.6161254644393921,unique,64
Standard,Rice2020Overfitting,1,1,conv1,conv1,0.9458745121955872,unique,64
Standard,Rice2020Overfitting,1,2,conv1,block1.layer.2.conv2,0.8829602599143982,unique,64
Standard,Rice2020Overfitting,1,3,conv1,block2.layer.0.convShortcut,0.9288976192474365,unique,64
Standard,Rice2020Overfitting,1,4,conv1,block2.layer.3.conv2,0.5128509402275085,unique,64
Standard,Rice2020Overfitting,1,5,conv1,block3.layer.1.conv2,0.5410485863685608,unique,64
Standard,Rice2020Overfitting,1,6,conv1,fc,0.48388347029685974,unique,64
Standard,Rice2020Overfitting,2,1,block1.layer.2.conv1,conv1,0.4607834219932556,unique,64
Standard,Rice2020Overfitting,2,2,block1.layer.2.conv1,block1.layer.2.conv2,0.8069832921028137,unique,64
Standard,Rice2020Overfitting,2,3,block1.layer.2.conv1,block2.layer.0.convShortcut,0.620800256729126,unique,64
Standard,Rice2020Overfitting,2,4,block1.layer.2.conv1,block2.layer.3.conv2,0.7091335654258728,unique,64
Standard,Rice2020Overfitting,2,5,block1.layer.2.conv1,block3.layer.1.conv2,0.6805657744407654,unique,64
Standard,Rice2020Overfitting,2,6,block1.layer.2.conv1,fc,0.261312872171402,unique,64
Standard,Rice2020Overfitting,3,1,block2.layer.0.conv2,conv1,0.5144636034965515,unique,64
Standard,Rice2020Overfitting,3,2,block2.layer.0.conv2,block1.layer.2.conv2,0.8412843942642212,unique,64
Standard,Rice2020Overfitting,3,3,block2.layer.0.conv2,block2.layer.0.convShortcut,0.6973382234573364,unique,64
Standard,Rice2020Overfitting,3,4,block2.layer.0.conv2,block2.layer.3.conv2,0.755243718624115,unique,64
Standard,Rice2020Overfitting,3,5,block2.layer.0.conv2,block3.layer.1.conv2,0.733450174331665,unique,64
Standard,Rice2020Overfitting,3,6,block2.layer.0.conv2,fc,0.3735301196575165,unique,64
Standard,Rice2020Overfitting,4,1,block2.layer.3.conv1,conv1,0.4700499475002289,unique,64
Standard,Rice2020Overfitting,4,2,block2.layer.3.conv1,block1.layer.2.conv2,0.8159927129745483,unique,64
Standard,Rice2020Overfitting,4,3,block2.layer.3.conv1,block2.layer.0.convShortcut,0.6475637555122375,unique,64
Standard,Rice2020Overfitting,4,4,block2.layer.3.conv1,block2.layer.3.conv2,0.7652893662452698,unique,64
Standard,Rice2020Overfitting,4,5,block2.layer.3.conv1,block3.layer.1.conv2,0.727222740650177,unique,64
Standard,Rice2020Overfitting,4,6,block2.layer.3.conv1,fc,0.33075034618377686,unique,64
Standard,Rice2020Overfitting,5,1,block3.layer.1.conv1,conv1,0.41296154260635376,unique,64
Standard,Rice2020Overfitting,5,2,block3.layer.1.conv1,block1.layer.2.conv2,0.6718496084213257,unique,64
Standard,Rice2020Overfitting,5,3,block3.layer.1.conv1,block2.layer.0.convShortcut,0.5688921809196472,unique,64
Standard,Rice2020Overfitting,5,4,block3.layer.1.conv1,block2.layer.3.conv2,0.6395718455314636,unique,64
Standard,Rice2020Overfitting,5,5,block3.layer.1.conv1,block3.layer.1.conv2,0.648087203502655,unique,64
Standard,Rice2020Overfitting,5,6,block3.layer.1.conv1,fc,0.4892546534538269,unique,64
Standard,Rice2020Overfitting,6,1,fc,conv1,0.37601181864738464,unique,64
Standard,Rice2020Overfitting,6,2,fc,block1.layer.2.conv2,0.45369333028793335,unique,64
Standard,Rice2020Overfitting,6,3,fc,block2.layer.0.convShortcut,0.4731697142124176,unique,64
Standard,Rice2020Overfitting,6,4,fc,block2.layer.3.conv2,0.33754947781562805,unique,64
Standard,Rice2020Overfitting,6,5,fc,block3.layer.1.conv2,0.37027984857559204,unique,64
Standard,Rice2020Overfitting,6,6,fc,fc,0.6356517672538757,unique,64
Engstrom2019Robustness,Wong2020Fast,1,1,conv1,conv1,0.94869065284729,unique,64
Engstrom2019Robustness,Wong2020Fast,1,2,conv1,layer1.1.conv2,0.9450435042381287,unique,64
Engstrom2019Robustness,Wong2020Fast,1,3,conv1,layer2.1.conv1,0.5849670171737671,unique,64
Engstrom2019Robustness,Wong2020Fast,1,4,conv1,layer3.0.shortcut.0,0.8360506892204285,unique,64
Engstrom2019Robustness,Wong2020Fast,1,5,conv1,layer4.0.conv2,0.5603640079498291,unique,64
Engstrom2019Robustness,Wong2020Fast,1,6,conv1,linear,0.4153608977794647,unique,64
Engstrom2019Robustness,Wong2020Fast,2,1,layer2.0.conv1,conv1,0.8267215490341187,unique,64
Engstrom2019Robustness,Wong2020Fast,2,2,layer2.0.conv1,layer1.1.conv2,0.8678246140480042,unique,64
Engstrom2019Robustness,Wong2020Fast,2,3,layer2.0.conv1,layer2.1.conv1,0.9473064541816711,unique,64
Engstrom2019Robustness,Wong2020Fast,2,4,layer2.0.conv1,layer3.0.shortcut.0,0.7094380259513855,unique,64
Engstrom2019Robustness,Wong2020Fast,2,5,layer2.0.conv1,layer4.0.conv2,0.5823750495910645,unique,64
Engstrom2019Robustness,Wong2020Fast,2,6,layer2.0.conv1,linear,0.38883209228515625,unique,64
Engstrom2019Robustness,Wong2020Fast,3,1,layer2.3.conv1,conv1,0.7650863528251648,unique,64
Engstrom2019Robustness,Wong2020Fast,3,2,layer2.3.conv1,layer1.1.conv2,0.8211213946342468,unique,64
Engstrom2019Robustness,Wong2020Fast,3,3,layer2.3.conv1,layer2.1.conv1,0.9729410409927368,unique,64
Engstrom2019Robustness,Wong2020Fast,3,4,layer2.3.conv1,layer3.0.shortcut.0,0.6607611775398254,unique,64
Engstrom2019Robustness,Wong2020Fast,3,5,layer2.3.conv1,layer4.0.conv2,0.5559316873550415,unique,64
Engstrom2019Robustness,Wong2020Fast,3,6,layer2.3.conv1,linear,0.37353479862213135,unique,64
Engstrom2019Robustness,Wong2020Fast,4,1,layer3.2.conv2,conv1,0.6563766598701477,unique,64
Engstrom2019Robustness,Wong2020Fast,4,2,layer3.2.conv2,layer1.1.conv2,0.7076812386512756,unique,64
Engstrom2019Robustness,Wong2020Fast,4,3,layer3.2.conv2,layer2.1.conv1,0.8800683617591858,unique,64
Engstrom2019Robustness,Wong2020Fast,4,4,layer3.2.conv2,layer3.0.shortcut.0,0.6018505096435547,unique,64
Engstrom2019Robustness,Wong2020Fast,4,5,layer3.2.conv2,layer4.0.conv2,0.559990406036377,unique,64
