pair_type,mean_early_cka,mean_middle_cka,mean_late_cka,mean_mean_layerwise_cka,mean_transfer_asr,n_pairs,source_table,mean_mean_cross_layer_cka,mean_mean_diagonal_cka,mean_mean_off_diagonal_cka,mean_mean_best_match_cka,mean_mean_abs_best_layer_shift
robust_robust,0.9416379829247793,0.7417564243078232,0.7828837434450785,0.8220927168925604,0.57682668208984,6,layer_group_cka,,,,,
standard_robust,0.8496614396572113,0.7601758539676666,0.6560240288575491,0.7552871074941424,0.2203978002372293,6,layer_group_cka,,,,,
robust_robust,,,,,0.57682668208984,6,cross_layer_cka,0.6614398307822369,0.8220927168925604,0.6293092535601722,0.9052854196892844,0.6944444444444445
standard_robust,,,,,0.2203978002372293,6,cross_layer_cka,0.6025198460729034,0.7552871074941424,0.5719663937886555,0.8154312802685632,0.7222222222222222
