pair_training_type,mean_cka,max_cka,sat,gaas,transfer_asr
adversarial_training → adversarial_training,0.8667426109313965,0.9922340512275696,0.7697368421052632,0.6682460904121399,0.7697368421052632
adversarial_training → fast_adversarial_training,0.7997665852308273,0.9749548435211182,0.7267206477732794,0.6144129633903503,0.7267206477732794
adversarial_training → standard,0.7842418899138768,0.9268343150615692,0.3046558704453441,0.01822843309491865,0.3046558704453441
fast_adversarial_training → adversarial_training,0.7997665852308273,0.9749548435211182,0.46428571428571425,0.6144129633903503,0.46428571428571425
fast_adversarial_training → fast_adversarial_training,,,1.0,,1.0
fast_adversarial_training → standard,0.6973904669284821,0.9782881140708924,0.3571428571428571,0.0123322336003184,0.3571428571428571
standard → adversarial_training,0.7842418899138768,0.9268343150615692,0.1101694915254237,0.01822843309491865,0.1101694915254237
standard → fast_adversarial_training,0.6973904669284821,0.9782881140708924,0.135593220338983,0.0123322336003184,0.135593220338983
standard → standard,,,1.0,,1.0
