model_a,model_b,n_common_correct,transfer_a_to_b,transfer_b_to_a,mean_bidirectional_transfer_percent,sat_score,dataset,threat_model,n_examples
C100_Wang2023Better_WRN70_16,C100_Wang2023Better_WRN70_16,,,,,,cifar100,Linf,1000
C100_Wang2023Better_WRN70_16,C100_Wang2023Better_WRN28_10,689.0,0.3076923191547394,0.2467343956232071,27.721335738897324,3.3222023599896624,cifar100,Linf,1000
C100_Wang2023Better_WRN70_16,C100_Rebuffi2021Fixing_70_16_cutmix_ddpm,598.0,0.2107023447751999,0.14882943034172058,17.976588755846024,2.8890702866745652,cifar100,Linf,1000
C100_Wang2023Better_WRN70_16,C100_Addepalli2022Efficient_RN18,615.0,0.2308943122625351,0.10894308984279633,16.99187010526657,2.832735000566242,cifar100,Linf,1000
C100_Wang2023Better_WRN28_10,C100_Wang2023Better_WRN70_16,689.0,0.2467343956232071,0.3076923191547394,27.721335738897324,3.3222023599896624,cifar100,Linf,1000
C100_Wang2023Better_WRN28_10,C100_Wang2023Better_WRN28_10,,,,,,cifar100,Linf,1000
C100_Wang2023Better_WRN28_10,C100_Rebuffi2021Fixing_70_16_cutmix_ddpm,592.0,0.2381756752729416,0.20270270109176636,22.043918818235397,3.093036773299428,cifar100,Linf,1000
C100_Wang2023Better_WRN28_10,C100_Addepalli2022Efficient_RN18,614.0,0.27850162982940674,0.16938111186027527,22.3941370844841,3.108799187301992,cifar100,Linf,1000
C100_Rebuffi2021Fixing_70_16_cutmix_ddpm,C100_Wang2023Better_WRN70_16,598.0,0.14882943034172058,0.2107023447751999,17.976588755846024,2.8890702866745652,cifar100,Linf,1000
C100_Rebuffi2021Fixing_70_16_cutmix_ddpm,C100_Wang2023Better_WRN28_10,592.0,0.20270270109176636,0.2381756752729416,22.043918818235397,3.093036773299428,cifar100,Linf,1000
C100_Rebuffi2021Fixing_70_16_cutmix_ddpm,C100_Rebuffi2021Fixing_70_16_cutmix_ddpm,,,,,,cifar100,Linf,1000
C100_Rebuffi2021Fixing_70_16_cutmix_ddpm,C100_Addepalli2022Efficient_RN18,570.0,0.24561403691768646,0.2017543911933899,22.368421405553818,3.1076502055356765,cifar100,Linf,1000
C100_Addepalli2022Efficient_RN18,C100_Wang2023Better_WRN70_16,615.0,0.10894308984279633,0.2308943122625351,16.99187010526657,2.832735000566242,cifar100,Linf,1000
C100_Addepalli2022Efficient_RN18,C100_Wang2023Better_WRN28_10,614.0,0.16938111186027527,0.27850162982940674,22.3941370844841,3.108799187301992,cifar100,Linf,1000
C100_Addepalli2022Efficient_RN18,C100_Rebuffi2021Fixing_70_16_cutmix_ddpm,570.0,0.2017543911933899,0.24561403691768646,22.368421405553818,3.1076502055356765,cifar100,Linf,1000
C100_Addepalli2022Efficient_RN18,C100_Addepalli2022Efficient_RN18,,,,,,cifar100,Linf,1000
