model_a,ImageNet_Engstrom2019Robustness,ImageNet_Salman2020Do_50_2,ImageNet_Salman2020Do_R18,ImageNet_Salman2020Do_R50
ImageNet_Engstrom2019Robustness,,2.326877793311694,2.4564626014862037,2.715772231148716
ImageNet_Salman2020Do_50_2,2.326877793311694,,1.9924301762047398,2.3944479428486107
ImageNet_Salman2020Do_R18,2.4564626014862037,1.9924301762047398,,2.444415299947797
ImageNet_Salman2020Do_R50,2.715772231148716,2.3944479428486107,2.444415299947797,
