model_a,L2_Rebuffi2021Fixing_70_16_cutmix_extra,L2_Sehwag2021Proxy_R18,L2_Wang2023Better_WRN28_10,L2_Wang2023Better_WRN70_16
L2_Rebuffi2021Fixing_70_16_cutmix_extra,,1.489126449333743,1.6698100521659032,1.7169170458817686
L2_Sehwag2021Proxy_R18,1.489126449333743,,1.3526633494787237,1.0675609534926722
L2_Wang2023Better_WRN28_10,1.6698100521659032,1.3526633494787237,,1.9963707355356426
L2_Wang2023Better_WRN70_16,1.7169170458817686,1.0675609534926722,1.9963707355356426,
